ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
monkey,sheep,butterfly,snail,eagle,pigeon,bluebird,spider,whale
rat,goat,sheep,shark,butterfly,spider,snake,turkey,cat
bear,tiger,giraffe,hog,monkey,turkey,horse,ladybug,rat
horse,turkey,butterfly,goldfish,ant,spider,duck,hog,sheep
sheep,cow,sparrow,ladybug,bat,snail,crocodile,bear,pigeon
butterfly,ant,dog,goldfish,spider,bear,rat,mouse,pigeon
dog,bear,elephant,frog,bluebird,eagle,lizard,butterfly,giraffe
horse,dolphin,ladybug,cat,turtle,snail,rat,pigeon,owl
mouse,monkey,ladybug,fox,lizard,butterfly,bear,hog,sparrow
goat,tiger,shark,dog,fox,snake,monkey,pigeon,lizard
goldfish,bear,bat,owl,rat,horse,tiger,giraffe,fox
sparrow,turtle,rat,elephant,pigeon,spider,whale,horse,mouse
sheep,turkey,rat,goat,dolphin,hog,dog,fox,horse
eagle,dolphin,giraffe,pigeon,crocodile,rat,mouse,bear,sheep
crocodile,pigeon,monkey,bat,dolphin,fox,eagle,mouse,dog
bluebird,rat,spider,snake,dog,cat,shark,owl,monkey
mouse,dolphin,rat,whale,goldfish,snake,frog,giraffe,cow
dolphin,mouse,ladybug,hog,snail,rat,crocodile,giraffe,bat
spider,turkey,hog,lizard,cow,dolphin,cat,bluebird,goat
cat,turkey,snail,tiger,giraffe,bluebird,bat,hog,ant
cat,goat,monkey,dog,fox,horse,sheep,turtle,elephant
eagle,fox,ant,dog,horse,owl,elephant,ladybug,snake
cow,snail,shark,goat,sheep,spider,crocodile,whale,duck
whale,owl,turkey,shark,dog,mouse,spider,turtle,hog
lizard,mouse,owl,duck,dolphin,cat,pigeon,ladybug,tiger
goat,sheep,bat,dolphin,giraffe,elephant,snail,spider,sparrow
lizard,goldfish,ant,elephant,spider,fox,rat,giraffe,dog
owl,horse,shark,pigeon,crocodile,fox,tiger,bluebird,turtle
ant,lizard,dolphin,whale,dog,shark,bat,mouse,sheep
bluebird,duck,ladybug,goat,ant,mouse,snail,eagle,giraffe
fox,goat,bat,cat,ant,dolphin,ladybug,lizard,turtle
frog,duck,bear,hog,bat,sparrow,turkey,cat,ant
snake,butterfly,dolphin,spider,ladybug,turtle,ant,sparrow,monkey
bear,horse,lizard,sparrow,owl,ant,cat,giraffe,pigeon
cat,lizard,ladybug,bat,bluebird,owl,whale,rat,pigeon
owl,bear,butterfly,monkey,dog,frog,dolphin,rat,eagle
eagle,tiger,rat,bat,spider,owl,dolphin,fox,bluebird
giraffe,monkey,crocodile,turkey,pigeon,duck,bat,ladybug,goat
ant,cat,sparrow,whale,cow,dog,snail,monkey,hog
elephant,snake,spider,pigeon,horse,cow,goldfish,fox,duck
eagle,pigeon,whale,goat,mouse,butterfly,cat,hog,duck
goat,cow,rat,whale,spider,horse,sheep,mouse,duck
pigeon,dog,sparrow,bat,butterfly,dolphin,duck,ant,monkey
butterfly,bat,lizard,crocodile,shark,turkey,monkey,turtle,whale
goldfish,dog,giraffe,pigeon,cow,lizard,goat,tiger,duck
rat,giraffe,bear,pigeon,snail,ant,butterfly,snake,elephant
elephant,turkey,bat,tiger,snail,monkey,shark,butterfly,cat
sparrow,snail,rat,ant,bluebird,eagle,monkey,horse,lizard
sheep,owl,mouse,elephant,shark,cat,snake,bluebird,tiger
snail,horse,snake,sheep,whale,dolphin,mouse,turtle,tiger
shark,owl,spider,whale,frog,sheep,cat,rat,pigeon
sheep,cow,butterfly,elephant,duck,bluebird,ant,bat,goldfish
pigeon,elephant,bluebird,owl,turkey,bear,crocodile,shark,mouse
ladybug,turkey,horse,cow,goldfish,bluebird,crocodile,sparrow,butterfly
tiger,dolphin,crocodile,dog,bat,sparrow,ant,fox,whale
tiger,mouse,snail,owl,shark,frog,pigeon,lizard,cat
giraffe,dolphin,bluebird,butterfly,horse,fox,sparrow,rat,frog
