ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,
mouse,duck,cat,eagle,snail,goat,butterfly,crocodile,lizard,0.877688991
cow,goldfish,bat,snake,shark,ladybug,duck,frog,pigeon,0.104409906
goldfish,snake,dolphin,ladybug,eagle,shark,frog,snail,turkey,0.197530389
cow,ant,owl,bear,horse,giraffe,butterfly,cat,hog,0.102872036
dolphin,tiger,ant,turtle,bluebird,cow,frog,duck,spider,0.458578084
lizard,dog,fox,bear,hog,cow,bat,shark,snail,0.941437312
bluebird,ladybug,snake,whale,pigeon,elephant,tiger,ant,shark,0.80347753
bat,tiger,snake,pigeon,duck,turkey,cat,horse,snail,0.710496594
monkey,dog,cat,sheep,snake,frog,owl,horse,pigeon,0.992965923
snake,ant,turtle,dolphin,ladybug,butterfly,monkey,spider,sparrow,0.277960082
elephant,ant,whale,ladybug,turkey,lizard,hog,cat,goat,0.964956898
spider,cat,dolphin,hog,cow,turkey,goat,lizard,bluebird,0.812144263
bluebird,shark,cat,spider,dog,rat,monkey,snake,owl,0.453276167
turtle,dolphin,mouse,tiger,bat,monkey,ladybug,fox,frog,0.350697618
dog,spider,snake,duck,sheep,crocodile,snail,horse,turkey,0.463930894
elephant,goat,sparrow,rat,crocodile,eagle,turtle,owl,ant,0.89784979
ant,butterfly,giraffe,rat,goldfish,duck,spider,horse,fox,0.449092393
owl,dolphin,frog,butterfly,dog,bear,eagle,monkey,rat,0.558606537
snake,spider,pigeon,mouse,bluebird,ant,rat,goldfish,goat,0.68866957
sheep,fox,lizard,whale,ladybug,pigeon,eagle,giraffe,horse,0.799342288
owl,tiger,fox,shark,crocodile,horse,turtle,pigeon,bluebird,0.692111801
cat,cow,sheep,dolphin,snake,dog,butterfly,snail,hog,0.918141219
shark,mouse,tiger,dolphin,ant,duck,lizard,bluebird,butterfly,0.088177122
eagle,lizard,ladybug,turtle,shark,dog,goldfish,monkey,frog,0.741511938
duck,cow,turtle,frog,lizard,turkey,bear,tiger,pigeon,0.567076644
butterfly,giraffe,bluebird,duck,elephant,ladybug,goat,dolphin,hog,0.721623403
snail,butterfly,bear,snake,bat,whale,eagle,hog,elephant,0.293272574
goat,tiger,turkey,owl,bat,sparrow,frog,monkey,goldfish,0.96599385
duck,eagle,goldfish,turkey,lizard,ant,sheep,horse,butterfly,0.194894942
crocodile,dog,fox,horse,turtle,hog,snake,spider,shark,0.008595603
rat,tiger,frog,ant,mouse,lizard,cow,pigeon,hog,0.608992685
turkey,monkey,duck,bat,tiger,eagle,horse,ant,ladybug,0.131694447
ladybug,sheep,pigeon,turkey,snake,cow,rat,snail,monkey,0.445226692
eagle,cat,butterfly,whale,mouse,pigeon,duck,goat,hog,0.092099608
goldfish,cat,elephant,cow,whale,monkey,spider,hog,lizard,0.832475003
snail,monkey,pigeon,duck,cat,turkey,fox,ladybug,sparrow,0.561225802
elephant,shark,monkey,bat,snail,turkey,cat,tiger,butterfly,0.078906695
turtle,hog,fox,horse,frog,butterfly,giraffe,spider,crocodile,0.146302255
snake,crocodile,whale,turkey,sheep,fox,horse,monkey,turtle,0.136904016
monkey,bluebird,pigeon,butterfly,eagle,sheep,whale,snail,spider,0.758344671
spider,turkey,horse,sheep,pigeon,snake,dolphin,owl,goldfish,0.035828265
sparrow,whale,spider,rat,pigeon,turtle,mouse,elephant,horse,0.336479691
eagle,mouse,rat,giraffe,crocodile,dolphin,sheep,pigeon,bear,0.134692653
eagle,elephant,owl,ant,horse,fox,snake,dog,ladybug,0.096276737
rat,horse,whale,turtle,ladybug,sheep,bat,cat,eagle,0.01771769
giraffe,sparrow,fox,bluebird,horse,dolphin,frog,butterfly,rat,0.120928419
pigeon,sheep,fox,ladybug,bear,crocodile,giraffe,frog,whale,0.261842284
turkey,butterfly,goat,lizard,dog,dolphin,owl,sparrow,cow,0.179606756
snail,mouse,dolphin,snake,whale,horse,tiger,sheep,turtle,0.298501201
snake,bear,lizard,elephant,eagle,hog,cat,turkey,crocodile,0.280620424
tiger,pigeon,frog,snail,shark,mouse,cat,owl,lizard,0.481095873
goldfish,goat,lizard,giraffe,cow,dog,duck,pigeon,tiger,0.237233916
cow,lizard,eagle,frog,turkey,tiger,goldfish,sparrow,rat,0.528321833
butterfly,cat,whale,horse,snake,dolphin,monkey,sparrow,giraffe,0.868490626
goldfish,crocodile,bat,sheep,sparrow,snake,snail,horse,bluebird,0.645161376
lizard,rat,fox,ant,spider,goldfish,dog,elephant,giraffe,0.310204176
spider,whale,butterfly,bear,shark,pigeon,eagle,crocodile,goldfish,0.011727584
horse,sparrow,dolphin,elephant,snake,bear,monkey,pigeon,cow,0.959020162
cat,turtle,bear,elephant,frog,spider,eagle,crocodile,shark,0.003768325
butterfly,eagle,mouse,duck,fox,goldfish,frog,ladybug,cow,0.245377219
hog,butterfly,monkey,duck,sheep,rat,pigeon,shark,tiger,0.150031091
dolphin,crocodile,rat,ladybug,snail,mouse,bat,hog,giraffe,0.893101805
butterfly,rat,bear,dog,spider,ant,pigeon,goldfish,mouse,0.993066624
butterfly,bear,snail,crocodile,sheep,ant,owl,turkey,tiger,0.946311703
mouse,bear,butterfly,ladybug,lizard,monkey,sparrow,fox,hog,0.374095669
hog,bear,ladybug,goldfish,horse,sparrow,goat,fox,turkey,0.141053782
lizard,dolphin,horse,whale,tiger,rat,goat,goldfish,eagle,0.069866198
bluebird,crocodile,goldfish,turkey,goat,sparrow,butterfly,mouse,sheep,0.02716135
rat,butterfly,ant,bear,snail,giraffe,elephant,pigeon,snake,0.845075192
bat,bear,goldfish,rat,dolphin,sparrow,spider,goat,lizard,0.397719021
cat,frog,lizard,goldfish,duck,crocodile,mouse,ladybug,sparrow,0.357004604
sparrow,monkey,eagle,rat,bluebird,snail,lizard,ant,horse,0.942798127
bluebird,frog,horse,lizard,cow,hog,monkey,bear,dog,0.798820358
