ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,
crocodile,tiger,cow,turkey,bear,frog,sparrow,butterfly,duck,0.944024224
sparrow,turtle,spider,whale,pigeon,elephant,horse,mouse,rat,0.216474245
goat,sparrow,turkey,tiger,bat,monkey,goldfish,frog,owl,0.170474564
butterfly,ant,bear,rat,spider,goldfish,mouse,pigeon,dog,0.318832073
turkey,eagle,duck,monkey,tiger,ant,ladybug,horse,bat,0.019949865
pigeon,elephant,bear,crocodile,turkey,owl,shark,mouse,bluebird,0.588614089
tiger,butterfly,bluebird,frog,duck,turkey,spider,owl,bear,0.507179966
bat,cow,dog,mouse,ladybug,bluebird,butterfly,giraffe,owl,0.263174551
shark,owl,sheep,cat,frog,whale,rat,pigeon,spider,0.170987388
ladybug,turkey,bluebird,crocodile,goldfish,cow,sparrow,butterfly,horse,0.507487985
lizard,frog,turtle,sparrow,shark,turkey,crocodile,bat,snake,0.669387164
cat,dog,sheep,cow,snake,snail,hog,butterfly,dolphin,0.208794896
bat,turkey,snake,tiger,duck,horse,snail,cat,pigeon,0.311912603
fox,rat,eagle,monkey,dog,duck,cow,whale,crocodile,0.573557532
frog,butterfly,dog,snail,sheep,fox,lizard,goldfish,spider,0.828846333
shark,goldfish,ladybug,tiger,cow,dolphin,horse,turtle,hog,0.052214652
spider,duck,ladybug,giraffe,frog,shark,butterfly,monkey,rat,0.61356454
hog,dolphin,frog,goat,whale,lizard,horse,duck,pigeon,0.37501008
hog,sparrow,ladybug,bear,horse,fox,turkey,goat,goldfish,0.134423016
lizard,mouse,cat,pigeon,dolphin,duck,ladybug,tiger,owl,0.865764331
goat,cow,horse,sheep,spider,whale,mouse,duck,rat,0.463677206
giraffe,monkey,duck,bat,pigeon,turkey,ladybug,goat,crocodile,0.127179777
horse,dolphin,snail,rat,turtle,cat,pigeon,owl,ladybug,0.231483165
shark,duck,tiger,mouse,ant,bluebird,butterfly,lizard,dolphin,0.967065009
bear,horse,ant,cat,owl,sparrow,giraffe,pigeon,lizard,0.165184005
crocodile,pigeon,fox,eagle,dolphin,bat,mouse,dog,monkey,0.474333798
sheep,cow,bluebird,ant,duck,elephant,bat,goldfish,butterfly,0.379426999
bear,tiger,turkey,horse,monkey,hog,ladybug,rat,giraffe,0.593045608
eagle,tiger,owl,dolphin,spider,bat,fox,bluebird,rat,0.417786846
rat,goat,spider,snake,butterfly,shark,turkey,cat,sheep,0.695936614
eagle,fox,owl,elephant,horse,dog,ladybug,snake,ant,0.144019122
giraffe,ant,turkey,dolphin,sparrow,snake,owl,turtle,ladybug,0.285260894
horse,eagle,whale,fox,mouse,bat,cow,monkey,tiger,0.503938897
horse,duck,butterfly,shark,tiger,mouse,frog,dog,lizard,0.393904151
bluebird,elephant,snake,ladybug,pigeon,ant,shark,tiger,whale,0.190775634
dolphin,snail,dog,eagle,hog,cat,goldfish,turkey,pigeon,0.079370158
tiger,dolphin,sparrow,ant,bat,dog,fox,whale,crocodile,0.303212339
bluebird,frog,dolphin,goldfish,bat,crocodile,hog,fox,turtle,0.184617937
rat,sheep,whale,horse,ladybug,cat,eagle,bat,turtle,0.658294815
dog,cat,monkey,dolphin,turtle,ant,shark,mouse,pigeon,0.676831537
ladybug,giraffe,snake,turtle,monkey,elephant,whale,dog,frog,0.600896389
lizard,cow,fox,dog,hog,shark,snail,bat,bear,0.867342232
goldfish,monkey,elephant,cat,whale,hog,lizard,spider,cow,0.150025498
lizard,goldfish,fox,rat,spider,elephant,giraffe,dog,ant,0.464634104
bat,spider,giraffe,goldfish,frog,whale,hog,shark,dog,0.288737142
horse,bear,dolphin,sparrow,snake,pigeon,cow,monkey,elephant,0.435685935
dolphin,monkey,shark,cow,sparrow,whale,snake,horse,frog,0.729234443
dog,bear,eagle,lizard,bluebird,frog,butterfly,giraffe,elephant,0.947882402
bluebird,hog,horse,frog,cow,bear,dog,monkey,lizard,0.645264856
turkey,frog,monkey,horse,spider,rat,bear,hog,whale,0.183300331
owl,goldfish,ladybug,sheep,whale,snail,sparrow,goat,mouse,0.301091322
fox,goat,dolphin,ladybug,ant,cat,lizard,turtle,bat,0.060008837
sparrow,goldfish,fox,ladybug,goat,butterfly,dolphin,owl,dog,0.550463567
dolphin,eagle,whale,owl,butterfly,elephant,lizard,pigeon,monkey,0.252258107
bluebird,rat,cat,shark,dog,snake,owl,monkey,spider,0.988229844
whale,giraffe,bluebird,hog,spider,pigeon,snail,tiger,bat,0.289998812
fox,owl,spider,duck,turkey,butterfly,shark,snail,crocodile,0.613281227
