ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,
whale,eagle,crocodile,monkey,bear,goldfish,sheep,goat,ladybug,0.16152933
goldfish,crocodile,bat,sheep,sparrow,snake,snail,horse,bluebird,0.15548513
horse,rat,snail,ladybug,turtle,dolphin,owl,cat,pigeon,0.56836636
fox,bear,dolphin,tiger,giraffe,bluebird,goat,goldfish,pigeon,0.69990647
frog,turtle,pigeon,ant,giraffe,whale,horse,dolphin,duck,0.26990905
mouse,turkey,giraffe,bat,ant,elephant,frog,dog,spider,0.97890977
goldfish,snake,dolphin,ladybug,eagle,shark,frog,snail,turkey,0.44048372
owl,dolphin,frog,butterfly,dog,bear,eagle,monkey,rat,0.20566487
lizard,dolphin,horse,whale,tiger,rat,goat,goldfish,eagle,0.18523568
shark,cat,sheep,spider,frog,owl,pigeon,whale,rat,0.42898314
dolphin,eagle,dog,pigeon,hog,snail,turkey,cat,goldfish,0.46611975
cat,sheep,horse,monkey,fox,goat,elephant,dog,turtle,0.04335977
sparrow,whale,spider,rat,pigeon,turtle,mouse,elephant,horse,0.98061453
shark,crocodile,mouse,butterfly,giraffe,bat,sparrow,monkey,fox,0.6703593
turtle,dolphin,mouse,tiger,bat,monkey,ladybug,fox,frog,0.3435674
cat,bat,bluebird,snail,giraffe,turkey,ant,tiger,hog,0.90013539
horse,duck,spider,butterfly,ant,turkey,sheep,goldfish,hog,0.89985558
bluebird,snail,mouse,ladybug,ant,duck,giraffe,goat,eagle,0.02468295
lizard,duck,mouse,bluebird,sheep,snake,frog,butterfly,monkey,0.85900669
turtle,bluebird,crocodile,giraffe,elephant,turkey,goat,cow,shark,0.55495748
bat,goldfish,giraffe,dog,frog,spider,shark,whale,hog,0.23881249
tiger,horse,giraffe,goldfish,hog,rat,turkey,bear,monkey,0.43270803
pigeon,duck,dolphin,sparrow,butterfly,dog,monkey,bat,ant,0.95779362
cat,cow,sheep,dolphin,snake,dog,butterfly,snail,hog,0.88769112
monkey,fox,tiger,shark,ant,rat,giraffe,cow,duck,0.47022963
rat,snake,spider,sheep,butterfly,goat,cat,shark,turkey,0.40593768
eagle,mouse,rat,giraffe,crocodile,dolphin,sheep,pigeon,bear,0.37643705
snail,frog,butterfly,bluebird,goat,hog,shark,crocodile,giraffe,0.05003502
hog,butterfly,monkey,duck,sheep,rat,pigeon,shark,tiger,0.45505054
sheep,snake,hog,turtle,frog,dolphin,monkey,spider,owl,0.79169575
crocodile,turkey,cow,duck,bear,tiger,butterfly,frog,sparrow,0.33283245
owl,rat,lizard,spider,cat,turtle,dog,crocodile,giraffe,0.62842096
duck,fox,monkey,sparrow,dog,ladybug,snake,hog,shark,0.39100168
dolphin,crocodile,rat,ladybug,snail,mouse,bat,hog,giraffe,0.23419165
dolphin,tiger,ant,turtle,bluebird,cow,frog,duck,spider,0.90673407
cow,monkey,bear,dolphin,tiger,dog,ant,fox,eagle,0.31666543
mouse,frog,snake,rat,goldfish,dolphin,cow,whale,giraffe,0.86702098
pigeon,elephant,monkey,goat,bluebird,snake,lizard,bat,hog,0.64942559
monkey,dog,cat,sheep,snake,frog,owl,horse,pigeon,0.08903191
duck,cow,turtle,frog,lizard,turkey,bear,tiger,pigeon,0.15967537
pigeon,dolphin,cat,cow,snail,ant,spider,rat,goldfish,0.25219906
hog,spider,dog,bluebird,elephant,cow,snake,crocodile,ant,0.4922044
goat,crocodile,bluebird,cat,snake,bear,butterfly,turtle,shark,0.98390362
ladybug,whale,elephant,tiger,bear,duck,eagle,spider,goat,0.4065823
goldfish,goat,lizard,giraffe,cow,dog,duck,pigeon,tiger,0.88293054
bluebird,crocodile,goldfish,turkey,goat,sparrow,butterfly,mouse,sheep,0.67126794
snail,mouse,dolphin,snake,whale,horse,tiger,sheep,turtle,0.24633879
shark,tiger,ladybug,hog,cow,goldfish,turtle,dolphin,horse,0.04531978
snail,monkey,pigeon,duck,cat,turkey,fox,ladybug,sparrow,0.6455152
turkey,butterfly,snail,cat,sheep,owl,giraffe,snake,mouse,0.79555582
elephant,goldfish,cow,spider,horse,snake,duck,pigeon,fox,0.0201214
horse,turkey,crocodile,sheep,turtle,giraffe,goat,owl,bluebird,0.97443625
butterfly,monkey,turkey,lizard,shark,bat,whale,crocodile,turtle,0.88839119
cat,frog,lizard,goldfish,duck,crocodile,mouse,ladybug,sparrow,0.81923556
butterfly,bear,snail,crocodile,sheep,ant,owl,turkey,tiger,0.70243153
rat,butterfly,ant,bear,snail,giraffe,elephant,pigeon,snake,0.28614873
ant,duck,frog,fox,bluebird,elephant,tiger,owl,goat,0.77685104
cat,whale,owl,ladybug,bluebird,lizard,pigeon,bat,rat,0.33585333
bear,horse,turkey,giraffe,monkey,tiger,rat,hog,ladybug,0.4602018
