ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,
tiger,fox,snake,ant,lizard,goat,eagle,turtle,pigeon,0.436998424
snake,spider,pigeon,mouse,bluebird,ant,rat,goldfish,goat,0.949409314
snail,frog,butterfly,bluebird,goat,hog,shark,crocodile,giraffe,0.444110924
turtle,whale,rat,sheep,lizard,duck,pigeon,goldfish,cat,0.534449271
sparrow,lizard,cow,frog,ant,sheep,tiger,duck,crocodile,0.677563908
owl,frog,mouse,elephant,sparrow,turkey,cow,eagle,ant,0.739177374
eagle,mouse,rat,giraffe,crocodile,dolphin,sheep,pigeon,bear,0.30328041
duck,horse,sheep,bat,whale,bluebird,goat,owl,snail,0.405826659
elephant,frog,dolphin,bear,pigeon,horse,crocodile,sheep,turtle,0.453660818
bat,eagle,pigeon,cow,ant,owl,cat,monkey,elephant,0.741351277
spider,snail,tiger,turtle,mouse,duck,ant,dog,giraffe,0.160891563
turtle,dolphin,mouse,tiger,bat,monkey,ladybug,fox,frog,0.363119438
monkey,dog,horse,bat,turtle,ant,dolphin,crocodile,duck,0.870090495
mouse,duck,cat,eagle,snail,goat,butterfly,crocodile,lizard,0.595294663
bluebird,crocodile,goldfish,turkey,goat,sparrow,butterfly,mouse,sheep,0.099864411
dolphin,tiger,ant,turtle,bluebird,cow,frog,duck,spider,0.573841187
cat,bat,bluebird,snail,giraffe,turkey,ant,tiger,hog,0.307967512
ant,turkey,bluebird,bear,turtle,lizard,dolphin,frog,crocodile,0.09576036
cow,giraffe,mouse,whale,crocodile,bluebird,elephant,turtle,owl,0.806903775
ant,butterfly,giraffe,rat,goldfish,duck,spider,horse,fox,0.29997743
ladybug,cat,owl,bat,bluebird,shark,lizard,ant,goldfish,0.355739795
bluebird,snail,mouse,ladybug,ant,duck,giraffe,goat,eagle,0.952019814
giraffe,mouse,whale,hog,lizard,rat,cat,frog,sheep,0.190004083
dog,elephant,bat,goat,turkey,butterfly,whale,hog,crocodile,0.939942347
turkey,butterfly,snail,cat,sheep,owl,giraffe,snake,mouse,0.681712758
bear,duck,turkey,mouse,bluebird,turtle,hog,sheep,dolphin,0.391684813
spider,fox,bluebird,mouse,bat,sparrow,goat,dog,elephant,0.126710641
