ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,
cat,bat,bluebird,snail,giraffe,turkey,ant,tiger,hog,0.644169254
rat,snake,spider,sheep,butterfly,goat,cat,shark,turkey,0.795707869
dolphin,eagle,dog,pigeon,hog,snail,turkey,cat,goldfish,0.287696612
goat,tiger,turkey,owl,bat,sparrow,frog,monkey,goldfish,0.43130426
goldfish,snake,dolphin,ladybug,eagle,shark,frog,snail,turkey,0.542682213
eagle,mouse,rat,giraffe,crocodile,dolphin,sheep,pigeon,bear,0.598018112
tiger,fox,snake,ant,lizard,goat,eagle,turtle,pigeon,0.761555009
mouse,frog,snake,rat,goldfish,dolphin,cow,whale,giraffe,0.937064545
frog,dog,snail,cow,hog,tiger,owl,snake,cat,0.818065528
elephant,frog,dolphin,bear,pigeon,horse,crocodile,sheep,turtle,0.498778941
giraffe,bat,duck,crocodile,pigeon,monkey,goat,turkey,ladybug,0.11909633
hog,butterfly,monkey,duck,sheep,rat,pigeon,shark,tiger,0.973227635
ladybug,whale,elephant,tiger,bear,duck,eagle,spider,goat,0.969040629
elephant,shark,monkey,bat,snail,turkey,cat,tiger,butterfly,0.911326177
snail,monkey,pigeon,duck,cat,turkey,fox,ladybug,sparrow,0.716633172
bluebird,snail,mouse,ladybug,ant,duck,giraffe,goat,eagle,0.390979764
crocodile,ladybug,sheep,dolphin,turkey,pigeon,goat,cow,goldfish,0.057546869
cat,cow,sheep,dolphin,snake,dog,butterfly,snail,hog,0.650265966
pigeon,spider,whale,eagle,horse,tiger,ladybug,turtle,snail,0.3733379
goldfish,crocodile,bat,sheep,sparrow,snake,snail,horse,bluebird,0.955334581
ladybug,sheep,pigeon,turkey,snake,cow,rat,snail,monkey,0.898218979
turtle,dolphin,mouse,tiger,bat,monkey,ladybug,fox,frog,0.327914627
eagle,turkey,cow,sparrow,cat,hog,turtle,snail,frog,0.15878209
owl,frog,mouse,elephant,sparrow,turkey,cow,eagle,ant,0.412265724
owl,hog,whale,bat,horse,fox,duck,snake,goat,0.835576852
horse,duck,spider,butterfly,ant,turkey,sheep,goldfish,hog,0.093691272
elephant,goldfish,cow,spider,horse,snake,duck,pigeon,fox,0.171392628
crocodile,turkey,cow,duck,bear,tiger,butterfly,frog,sparrow,0.417981291
duck,dog,cow,spider,crocodile,mouse,giraffe,turtle,shark,0.1362772
turkey,butterfly,goat,lizard,dog,dolphin,owl,sparrow,cow,0.087609665
tiger,horse,giraffe,goldfish,hog,rat,turkey,bear,monkey,0.625820655
owl,rat,lizard,spider,cat,turtle,dog,crocodile,giraffe,0.642678384
snake,spider,pigeon,mouse,bluebird,ant,rat,goldfish,goat,0.055262922
eagle,elephant,owl,ant,horse,fox,snake,dog,ladybug,0.850989086
cat,frog,lizard,goldfish,duck,crocodile,mouse,ladybug,sparrow,0.212387972
fox,ladybug,dolphin,bat,ant,goat,turtle,cat,lizard,0.674811294
dolphin,tiger,ant,turtle,bluebird,cow,frog,duck,spider,0.040202736
turkey,butterfly,snail,cat,sheep,owl,giraffe,snake,mouse,0.381952948
shark,crocodile,mouse,butterfly,giraffe,bat,sparrow,monkey,fox,0.410219724
duck,cow,turtle,frog,lizard,turkey,bear,tiger,pigeon,0.797560608
whale,spider,mouse,turkey,dog,owl,hog,shark,turtle,0.444181414
owl,tiger,fox,shark,crocodile,horse,turtle,pigeon,bluebird,0.182731612
goldfish,goat,lizard,giraffe,cow,dog,duck,pigeon,tiger,0.421050518
pigeon,duck,dolphin,sparrow,butterfly,dog,monkey,bat,ant,0.832567205
bluebird,crocodile,goldfish,turkey,goat,sparrow,butterfly,mouse,sheep,0.320153468
tiger,frog,bluebird,bear,duck,butterfly,owl,turkey,spider,0.930842204
dog,spider,snake,duck,sheep,crocodile,snail,horse,turkey,0.08011919
fox,bear,dolphin,tiger,giraffe,bluebird,goat,goldfish,pigeon,0.388272283
monkey,dog,horse,bat,turtle,ant,dolphin,crocodile,duck,0.20518753
bear,frog,cat,bat,pigeon,butterfly,snail,goat,goldfish,0.131294107
ladybug,cat,owl,bat,bluebird,shark,lizard,ant,goldfish,0.93898697
crocodile,lizard,whale,elephant,giraffe,cat,rat,sparrow,duck,0.02613441
frog,turtle,pigeon,ant,giraffe,whale,horse,dolphin,duck,0.589157223
bear,elephant,turtle,eagle,crocodile,cow,shark,dog,duck,0.960506223
bear,horse,turkey,giraffe,monkey,tiger,rat,hog,ladybug,0.197835108
cat,whale,owl,ladybug,bluebird,lizard,pigeon,bat,rat,0.540079095
mouse,turkey,giraffe,bat,ant,elephant,frog,dog,spider,0.576269309
butterfly,eagle,mouse,duck,fox,goldfish,frog,ladybug,cow,0.328810322
hog,spider,dog,bluebird,elephant,cow,snake,crocodile,ant,0.076915864
sheep,ant,bluebird,butterfly,duck,cow,goldfish,elephant,bat,0.501137154
butterfly,monkey,turkey,lizard,shark,bat,whale,crocodile,turtle,0.16737012
whale,hog,bluebird,bat,spider,giraffe,tiger,pigeon,snail,0.816247916
butterfly,bear,snail,crocodile,sheep,ant,owl,turkey,tiger,0.830625829
sheep,snake,hog,turtle,frog,dolphin,monkey,spider,owl,0.263296426
mouse,dolphin,monkey,fox,snake,owl,bluebird,sheep,turtle,0.413995328
monkey,fox,tiger,shark,ant,rat,giraffe,cow,duck,0.526617798
whale,horse,dolphin,rat,sheep,eagle,fox,cat,ant,0.074226281
spider,whale,butterfly,bear,shark,pigeon,eagle,crocodile,goldfish,0.794893802
dog,snail,shark,horse,sparrow,goldfish,rat,fox,turtle,0.359582355
lizard,duck,mouse,bluebird,sheep,snake,frog,butterfly,monkey,0.550603582
bat,goldfish,giraffe,dog,frog,spider,shark,whale,hog,0.276441981
sparrow,whale,spider,rat,pigeon,turtle,mouse,elephant,horse,0.871725263
owl,dolphin,frog,butterfly,dog,bear,eagle,monkey,rat,0.65629562
monkey,dog,cat,sheep,snake,frog,owl,horse,pigeon,0.246615866
shark,cat,sheep,spider,frog,owl,pigeon,whale,rat,0.232709612
turtle,cow,ant,cat,snake,elephant,snail,duck,sparrow,0.540944289
sheep,snake,cat,mouse,shark,owl,tiger,elephant,bluebird,0.516502212
dolphin,crocodile,rat,ladybug,snail,mouse,bat,hog,giraffe,0.265295451
