ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,
bear,horse,turkey,giraffe,monkey,tiger,rat,hog,ladybug,0.67318636
sheep,snake,hog,turtle,frog,dolphin,monkey,spider,owl,0.941793942
elephant,goat,sparrow,rat,crocodile,eagle,turtle,owl,ant,0.243410397
monkey,dog,cat,sheep,snake,frog,owl,horse,pigeon,0.965012764
ladybug,turtle,snake,frog,monkey,giraffe,dog,elephant,whale,0.268390112
bat,mouse,dog,owl,ladybug,cow,giraffe,bluebird,butterfly,0.673673765
turkey,horse,monkey,whale,spider,frog,hog,rat,bear,0.747413051
hog,bear,ladybug,goldfish,horse,sparrow,goat,fox,turkey,0.453140551
eagle,dolphin,owl,rat,spider,tiger,bluebird,bat,fox,0.496318124
mouse,pigeon,shark,duck,snail,horse,dog,tiger,ant,0.080437406
shark,cat,sheep,spider,frog,owl,pigeon,whale,rat,0.531480626
bat,tiger,snake,pigeon,duck,turkey,cat,horse,snail,0.084552999
sparrow,whale,spider,rat,pigeon,turtle,mouse,elephant,horse,0.762274594
goldfish,snake,dolphin,ladybug,eagle,shark,frog,snail,turkey,0.805752662
sheep,ant,bluebird,butterfly,duck,cow,goldfish,elephant,bat,0.779774723
cow,ant,owl,bear,horse,giraffe,butterfly,cat,hog,0.961296522
sheep,crocodile,snail,sparrow,bat,cow,pigeon,ladybug,bear,0.963428757
mouse,bear,butterfly,ladybug,lizard,monkey,sparrow,fox,hog,0.158596079
dolphin,owl,whale,monkey,butterfly,eagle,pigeon,elephant,lizard,0.801269779
turkey,monkey,duck,bat,tiger,eagle,horse,ant,ladybug,0.818025036
giraffe,bat,duck,crocodile,pigeon,monkey,goat,turkey,ladybug,0.556719777
cat,cow,sheep,dolphin,snake,dog,butterfly,snail,hog,0.087238025
hog,goat,frog,pigeon,whale,dolphin,duck,lizard,horse,0.382276371
bear,cat,ant,lizard,owl,horse,pigeon,sparrow,giraffe,0.748896231
rat,horse,whale,turtle,ladybug,sheep,bat,cat,eagle,0.089339136
horse,sparrow,dolphin,elephant,snake,bear,monkey,pigeon,cow,0.37534398
pigeon,crocodile,bear,bluebird,turkey,elephant,mouse,owl,shark,0.847214931
sparrow,ladybug,fox,dog,goat,goldfish,owl,butterfly,dolphin,0.028185348
frog,rat,crocodile,eagle,bluebird,mouse,fox,goat,butterfly,0.156846452
elephant,goldfish,cow,spider,horse,snake,duck,pigeon,fox,0.338537558
hog,snail,cat,bear,mouse,elephant,sparrow,owl,bluebird,0.469294602
shark,mouse,tiger,dolphin,ant,duck,lizard,bluebird,butterfly,0.903463916
rat,butterfly,ant,bear,snail,giraffe,elephant,pigeon,snake,0.062186022
crocodile,ladybug,sheep,dolphin,turkey,pigeon,goat,cow,goldfish,0.356203172
dolphin,cow,shark,frog,sparrow,monkey,horse,whale,snake,0.445253373
sheep,snake,cat,mouse,shark,owl,tiger,elephant,bluebird,0.497164251
tiger,ant,sparrow,crocodile,bat,dolphin,whale,dog,fox,0.294836459
cow,monkey,bear,dolphin,tiger,dog,ant,fox,eagle,0.687846515
frog,elephant,dolphin,eagle,monkey,ladybug,whale,shark,rat,0.66709318
butterfly,eagle,mouse,duck,fox,goldfish,frog,ladybug,cow,0.371560429
butterfly,giraffe,bluebird,duck,elephant,ladybug,goat,dolphin,hog,0.396484486
hog,turtle,shark,snake,bat,eagle,crocodile,monkey,giraffe,0.760633254
rat,owl,goldfish,turtle,duck,crocodile,dolphin,monkey,ladybug,0.047285676
pigeon,dolphin,cat,cow,snail,ant,spider,rat,goldfish,0.206678232
snail,butterfly,bear,snake,bat,whale,eagle,hog,elephant,0.282970193
spider,giraffe,ladybug,rat,frog,duck,monkey,shark,butterfly,0.869747508
goat,tiger,turkey,owl,bat,sparrow,frog,monkey,goldfish,0.303638331
bat,goldfish,giraffe,dog,frog,spider,shark,whale,hog,0.271809893
